YEAR,WEEK,TOTAL SPECIMENS,A (H1),A (Unable to Subtype),A (H3),A (2009 H1N1),A (Subtyping not Performed),B,H3N2v,PERCENT POSITIVE
2011,40,3192,0,0,14,3,7,9,0,1.03383
2011,41,3316,0,0,9,0,2,8,0,0.572979
2011,42,3425,0,0,10,2,8,8,0,0.817518
2011,43,3749,0,0,12,0,20,12,0,1.17365
2011,44,4075,0,0,17,1,12,9,0,0.957055
2011,45,4326,0,0,15,2,17,15,0,1.13269
2011,46,4580,0,0,15,0,17,12,0,0.960699
2011,47,4108,0,0,23,3,30,19,0,1.82571
2011,48,4669,0,0,32,2,21,17,0,1.54209
2011,49,4710,0,0,38,5,45,20,0,2.29299
2011,50,4906,0,0,78,4,31,20,0,2.71097
2011,51,5151,0,0,104,7,62,24,0,3.8245
2011,52,5470,0,0,107,4,53,18,0,3.32724
2012,1,5690,0,0,101,16,44,22,0,3.21617
2012,2,5341,0,0,142,31,47,15,0,4.39993
2012,3,5364,0,0,195,50,57,18,0,5.9657
2012,4,5840,0,0,257,84,100,32,0,8.09932
2012,5,6251,0,0,365,128,144,43,0,10.8783
2012,6,6413,0,0,419,167,167,56,0,12.615
2012,7,7298,0,0,508,233,271,71,0,14.8397
2012,8,7596,0,0,690,319,356,78,0,18.9968
2012,9,8485,0,0,988,488,433,112,0,23.8185
2012,10,8459,0,0,1232,538,491,123,0,28.183
2012,11,8822,0,0,1396,599,516,199,0,30.7187
2012,12,7974,0,0,1086,445,427,237,0,27.527
2012,13,7450,0,0,719,311,332,244,0,21.557
2012,14,6695,0,0,629,266,308,275,0,22.0762
2012,15,6304,0,0,591,188,212,298,0,20.4473
2012,16,5689,0,0,540,119,201,314,0,20.6363
2012,17,4980,0,0,361,74,151,274,0,17.2691
2012,18,4522,0,0,299,53,119,252,0,15.9885
2012,19,4061,0,0,229,33,88,266,0,15.1687
2012,20,3811,0,0,162,23,69,254,0,13.3298
2012,21,3729,0,0,76,11,69,260,0,11.1558
2012,22,3347,0,0,78,3,56,228,0,10.9053
2012,23,3055,0,0,45,7,44,197,0,9.59083
2012,24,2898,0,0,52,2,56,179,0,9.97239
2012,25,2529,0,0,36,2,30,103,0,6.76157
2012,26,2255,0,0,17,0,22,113,0,6.74058
2012,27,1970,0,0,15,1,18,59,0,4.72081
2012,28,2052,0,0,33,4,15,41,1,4.5809
2012,29,2100,0,0,18,0,11,48,0,3.66667
2012,30,2048,0,0,49,2,13,32,9,5.12695
2012,31,2161,0,0,65,1,11,33,95,9.48635
2012,32,2294,0,0,62,1,12,25,73,7.54141
2012,33,2501,0,0,69,6,14,27,52,6.71731
2012,34,2705,0,0,48,6,21,23,15,4.17745
2012,35,2746,0,0,37,1,15,19,12,3.05899
2012,36,2914,0,0,34,1,17,32,5,3.05422
2012,37,3280,0,0,16,0,11,44,2,2.22561
2012,38,3501,0,0,43,5,18,42,0,3.08483
2012,39,3649,0,0,42,7,18,64,0,3.59002
