YEAR,WEEK,TOTAL SPECIMENS,A (H3),A (2009 H1N1),A (Subtyping not Performed),B,H3N2v,BVic,BYam
2015,40,1139,65,4,2,10,0,0,1
2015,41,1152,41,5,2,7,0,3,0
2015,42,1198,50,10,1,8,0,3,2
2015,43,1244,31,9,4,9,0,1,4
2015,44,1465,23,4,4,9,0,1,4
2015,45,1393,34,11,1,10,0,4,2
2015,46,1458,42,17,1,4,0,0,4
2015,47,1157,24,17,0,4,0,3,9
2015,48,1550,36,27,3,9,0,3,12
2015,49,1518,37,38,3,11,0,2,11
2015,50,1475,39,69,0,10,0,4,19
2015,51,1245,33,89,1,12,0,3,28
2015,52,1485,56,146,1,13,0,9,35
2016,1,1841,68,232,2,14,0,12,52
2016,2,1748,89,256,5,47,0,23,60
2016,3,1946,100,361,13,45,0,25,83
2016,4,2568,160,526,15,97,0,28,104
2016,5,2727,171,672,13,98,0,62,143
2016,6,3202,236,891,17,161,0,71,206
2016,7,3898,256,1340,19,179,0,103,309
2016,8,4551,232,1672,28,215,0,156,383
2016,9,4687,313,1886,32,211,0,143,347
2016,10,5095,313,2173,47,246,0,162,333
2016,11,4111,213,1514,24,185,0,154,278
2016,12,3357,198,1058,19,185,0,117,207
2016,13,3071,180,807,33,208,0,127,211
2016,14,2403,135,534,33,173,0,106,163
2016,15,2090,117,383,16,148,0,88,162
2016,16,1816,127,276,16,158,0,86,163
2016,17,1491,98,167,5,94,0,78,119
2016,18,1125,59,77,2,80,0,53,82
2016,19,1019,62,53,2,53,0,36,71
2016,20,816,77,35,4,44,0,14,50
2016,21,639,44,16,2,30,0,22,32
2016,22,482,13,4,1,24,0,14,35
2016,23,464,15,5,1,14,0,6,17
2016,24,424,18,7,0,6,0,6,10
2016,25,320,22,5,0,10,0,9,11
2016,26,325,18,3,3,4,0,6,9
2016,27,271,18,2,0,5,0,5,9
2016,28,291,21,1,1,3,0,2,11
2016,29,297,18,2,1,4,0,0,10
2016,30,298,38,2,0,2,1,2,10
2016,31,351,45,1,2,0,3,1,4
2016,32,351,28,6,0,1,10,3,12
2016,33,376,29,1,0,3,4,1,7
2016,34,364,28,5,0,2,0,2,6
2016,35,408,33,7,0,5,0,4,2
2016,36,400,45,3,0,6,0,1,3
2016,37,553,55,8,2,10,0,4,6
2016,38,622,77,6,0,8,0,3,5
2016,39,696,73,5,1,5,0,11,0
