YEAR,WEEK,TOTAL SPECIMENS,A (H3),A (2009 H1N1),A (Subtyping not Performed),B,H3N2v,BVic,BYam,PERCENT POSITIVE
2015,40,1139,65,4,2,10,0,0,1,7.199297629
2015,41,1152,41,5,2,7,0,3,0,5.034722222
2015,42,1198,50,10,1,8,0,3,2,6.176961603
2015,43,1244,31,9,4,9,0,1,4,4.662379421
2015,44,1465,23,4,4,9,0,1,4,3.071672355
2015,45,1393,34,11,1,10,0,4,2,4.450825556
2015,46,1458,42,17,1,4,0,0,4,4.663923182
2015,47,1157,24,17,0,4,0,3,9,4.92653414
2015,48,1550,36,27,3,9,0,3,12,5.806451613
2015,49,1518,37,38,3,11,0,2,11,6.719367589
2015,50,1475,39,69,0,10,0,4,19,9.559322034
2015,51,1245,33,89,1,12,0,3,28,13.33333333
2015,52,1485,56,146,1,13,0,9,35,17.50841751
2016,1,1841,68,232,2,14,0,12,52,20.640956
2016,2,1748,89,256,5,47,0,23,60,27.45995423
2016,3,1946,100,361,13,45,0,25,83,32.21993834
2016,4,2568,160,526,15,97,0,28,104,36.21495327
2016,5,2727,171,672,13,98,0,62,143,42.50091676
2016,6,3202,236,891,17,161,0,71,206,49.40662086
2016,7,3898,256,1340,19,179,0,103,309,56.59312468
2016,8,4551,232,1672,28,215,0,156,383,59.01999561
2016,9,4687,313,1886,32,211,0,143,347,62.55600597
2016,10,5095,313,2173,47,246,0,162,333,64.25907753
2016,11,4111,213,1514,24,185,0,154,278,57.6015568
2016,12,3357,198,1058,19,185,0,117,207,53.14268692
2016,13,3071,180,807,33,208,0,127,211,50.99316184
2016,14,2403,135,534,33,173,0,106,163,47.60715772
2016,15,2090,117,383,16,148,0,88,162,43.73205742
2016,16,1816,127,276,16,158,0,86,163,45.4845815
2016,17,1491,98,167,5,94,0,78,119,37.62575453
2016,18,1125,59,77,2,80,0,53,82,31.37777778
2016,19,1019,62,53,2,53,0,36,71,27.18351325
2016,20,816,77,35,4,44,0,14,50,27.45098039
2016,21,639,44,16,2,30,0,22,32,22.84820031
2016,22,482,13,4,1,24,0,14,35,18.87966805
2016,23,464,15,5,1,14,0,6,17,12.5
2016,24,424,18,7,0,6,0,6,10,11.08490566
2016,25,320,22,5,0,10,0,9,11,17.8125
2016,26,325,18,3,3,4,0,6,9,13.23076923
2016,27,271,18,2,0,5,0,5,9,14.39114391
2016,28,291,21,1,1,3,0,2,11,13.40206186
2016,29,297,18,2,1,4,0,0,10,11.78451178
2016,30,298,38,2,0,2,1,2,10,18.45637584
2016,31,351,45,1,2,0,3,1,4,15.95441595
2016,32,351,28,6,0,1,10,3,12,17.09401709
2016,33,376,29,1,0,3,4,1,7,11.96808511
2016,34,364,28,5,0,2,0,2,6,11.81318681
2016,35,408,33,7,0,5,0,4,2,12.5
2016,36,400,45,3,0,6,0,1,3,14.5
2016,37,553,55,8,2,10,0,4,6,15.37070524
2016,38,622,77,6,0,8,0,3,5,15.91639871
2016,39,696,73,5,1,5,0,11,0,13.64942529
2016,40,898,87,9,0,1,0,5,4,11.80400891
2016,41,970,81,11,0,3,0,7,6,11.13402062
2016,42,1140,134,12,2,1,0,8,10,14.64912281
2016,43,1168,130,13,1,6,0,3,3,13.35616438
2016,44,1296,122,12,3,3,0,10,7,12.11419753
2016,45,1275,155,5,1,5,0,6,1,13.56862745
2016,46,1351,189,9,2,13,0,7,1,16.35825315
2016,47,1098,164,5,14,10,0,4,3,18.21493625
2016,48,1713,318,13,11,18,0,17,5,22.30005838
2016,49,1880,479,14,3,3,0,20,7,27.9787234
2016,50,2244,750,18,9,16,0,27,18,37.34402852
2016,51,2505,1016,29,11,16,0,38,28,45.42914172
2016,52,3287,1676,32,31,13,0,59,37,56.22147855
2017,1,3932,2067,53,13,19,0,47,60,57.45167854
2017,2,4348,2210,49,30,25,0,49,76,56.09475621
2017,3,4278,2253,57,24,26,0,69,104,59.20991117
2017,4,4568,2431,47,29,30,0,71,123,59.7854641
2017,5,5086,2596,51,30,50,0,96,182,59.08375934
2017,6,5521,2975,71,23,47,0,126,240,63.06828473
2017,7,5335,2617,68,17,104,0,152,300,61.06841612
2017,8,5065,2364,87,12,89,0,159,357,60.57255676
2017,9,3995,1492,54,13,102,0,149,358,54.26783479
2017,10,3625,1256,50,15,107,0,138,389,53.93103448
2017,11,3238,909,28,11,124,0,141,440,51.05003088
2017,12,3212,843,31,4,124,0,193,523,53.48692403
2017,13,3049,655,27,3,218,0,143,576,53.19776976
2017,14,2308,374,17,4,133,0,117,450,47.44367418
2017,15,1719,221,5,1,81,0,66,383,44.03723095
2017,16,1549,144,11,2,81,0,54,250,34.99031633
2017,17,1304,133,7,2,49,0,51,181,32.43865031
2017,18,1044,83,5,2,41,0,31,131,28.0651341
2017,19,889,97,3,2,36,0,38,117,32.9583802
2017,20,788,63,5,1,33,0,33,114,31.59898477
2017,21,640,41,6,0,23,0,26,80,27.5
2017,22,550,39,1,0,17,0,51,60,30.54545455
2017,23,457,33,5,0,19,0,22,63,31.07221007
2017,24,398,43,8,1,9,0,11,45,29.39698492
2017,25,388,40,5,0,8,0,11,31,24.48453608
2017,26,361,39,5,1,7,0,4,21,21.32963989
2017,27,295,29,10,0,4,0,7,7,19.3220339
2017,28,347,31,4,0,11,2,5,9,17.86743516
2017,29,354,26,8,0,9,9,0,7,16.66666667
2017,30,367,31,7,4,3,0,1,21,18.25613079
2017,31,385,41,8,0,3,5,0,8,16.88311688
2017,32,373,42,6,1,7,1,0,20,20.64343164
2017,33,353,32,5,3,1,0,0,9,14.16430595
2017,34,410,54,6,2,10,0,1,9,20
2017,35,486,64,18,1,7,0,0,0,18.51851852
2017,36,469,105,12,2,3,0,0,13,28.78464819
2017,37,719,109,8,0,14,0,2,17,20.86230876
2017,38,830,101,2,3,10,17,1,18,18.31325301
2017,39,961,119,10,1,3,24,0,10,17.37773153
2017,40,1041,123,13,3,5,1,0,16,15.46589817
2017,41,1079,143,14,8,6,0,4,13,17.42354032
2017,42,1234,173,14,0,2,0,1,11,16.28849271
2017,43,1473,180,26,24,13,0,1,21,17.99049559
2017,44,1591,249,24,15,17,0,3,36,21.62162162
2017,45,1554,315,29,1,12,0,4,33,25.35392535
2017,46,1876,405,56,2,29,0,5,61,29.74413646
2017,47,1611,490,41,2,10,0,5,60,37.74053383
2017,48,2369,787,61,11,20,1,8,108,42.04305614
2017,49,2785,1055,72,4,31,0,16,103,45.99640934
2017,50,3558,1515,137,11,39,0,36,174,53.73805509
2017,51,4815,2491,240,19,78,0,39,258,64.90134995
2017,52,5424,2984,279,29,100,0,35,372,70.04056047
2018,1,6410,3295,320,39,165,0,45,463,67.50390016
2018,2,6919,3336,393,70,163,0,42,534,65.58751265
2018,3,6293,2727,406,50,189,0,47,536,62.84760845
2018,4,6923,2749,540,38,231,0,58,718,62.60291781
2018,5,7056,2494,542,41,306,0,91,804,60.6292517
2018,6,6492,2040,544,32,329,0,113,931,61.44485521
2018,7,5508,1511,495,24,251,0,115,931,60.40305011
2018,8,4546,1073,306,19,245,0,116,891,58.29300484
2018,9,3580,588,246,12,204,0,88,699,51.31284916
2018,10,3057,411,144,25,172,0,88,646,48.60974812
2018,11,2529,277,188,25,174,0,70,542,50.45472519
2018,12,2248,234,120,10,129,0,52,467,45.01779359
2018,13,1965,220,132,8,107,0,62,455,50.07633588
2018,14,1906,163,120,7,72,0,54,405,43.07450157
2018,15,1481,102,101,2,54,0,40,297,40.243079
2018,16,1174,86,51,0,45,0,43,211,37.13798978
2018,17,1028,53,56,1,53,0,28,138,32.00389105
2018,18,831,31,40,2,23,0,14,137,29.72322503
2018,19,599,20,16,0,8,0,6,68,19.69949917
2018,20,464,10,16,0,10,0,6,27,14.87068966
2018,21,344,6,18,0,8,0,4,20,16.27906977
2018,22,265,5,8,0,2,0,2,11,10.56603774
2018,23,286,3,7,0,3,0,3,9,8.741258741
2018,24,283,3,6,0,2,0,3,8,7.77385159
2018,25,213,3,1,0,0,1,3,6,6.572769953
2018,26,197,6,2,0,0,0,0,1,4.568527919
2018,27,131,5,9,0,1,0,0,6,16.03053435
2018,28,176,9,8,0,1,0,2,3,13.06818182
2018,29,174,5,15,0,3,0,2,4,16.66666667
2018,30,243,3,9,4,0,0,2,0,7.407407407
2018,31,185,10,7,3,0,0,0,1,11.35135135
2018,32,164,8,6,5,1,0,0,2,13.41463415
2018,33,181,9,5,6,1,0,0,2,12.70718232
2018,34,259,20,17,6,1,0,0,1,17.37451737
2018,35,258,6,10,0,0,0,0,2,6.976744186
2018,36,351,17,17,0,1,0,0,1,10.25641026
2018,37,446,14,29,0,0,0,1,5,10.98654709
2018,38,535,17,22,2,2,0,1,2,8.598130841
2018,39,561,13,20,0,0,0,0,3,6.417112299
2018,40,793,11,29,7,0,0,7,11,8.196721311
2018,41,898,11,52,7,5,0,3,5,9.242761693
2018,42,1086,21,51,13,1,0,2,14,9.392265193
2018,43,1089,35,74,3,3,0,0,13,11.75390266
2018,44,1217,23,82,2,1,0,1,8,9.613804437
2018,45,1306,27,117,14,4,0,4,7,13.24655436
2018,46,1393,40,147,9,0,0,2,3,14.4292893
2018,47,1101,53,211,9,1,0,2,5,25.5222525
2018,48,1672,63,316,9,1,0,2,10,23.98325359
2018,49,1628,88,342,14,7,0,3,7,28.31695332
2018,50,2068,161,641,16,3,0,7,6,40.32882012
2018,51,2416,195,1024,78,9,0,20,7,55.17384106
2018,52,2283,222,1127,102,10,0,18,6,65.04599212
2019,1,2542,249,1048,161,6,0,4,10,58.14319434
2019,2,2897,201,1278,47,9,0,1,11,53.40006904
2019,3,2742,291,1235,38,9,0,13,14,58.3515682
2019,4,2474,358,1125,46,12,0,14,9,63.2174616
2019,5,2436,481,997,26,8,0,15,13,63.2183908
2019,6,1731,357,649,23,7,0,8,2,60.42749856
