"REGION TYPE","REGION","YEAR","WEEK","% WEIGHTED ILI","%UNWEIGHTED ILI","AGE 0-4","AGE 25-49","AGE 25-64","AGE 5-24","AGE 50-64","AGE 65","ILITOTAL","NUM. OF PROVIDERS","TOTAL PATIENTS"
"States","California",2010,40,NA,1.95412,NA,NA,NA,NA,NA,NA,632,112,32342
"States","California",2010,41,NA,2.15266,NA,NA,NA,NA,NA,NA,742,122,34469
"States","California",2010,42,NA,2.24173,NA,NA,NA,NA,NA,NA,766,126,34170
"States","California",2010,43,NA,1.91748,NA,NA,NA,NA,NA,NA,666,130,34733
"States","California",2010,44,NA,2.52326,NA,NA,NA,NA,NA,NA,887,131,35153
"States","California",2010,45,NA,2.74562,NA,NA,NA,NA,NA,NA,906,126,32998
"States","California",2010,46,NA,2.81963,NA,NA,NA,NA,NA,NA,1020,131,36175
"States","California",2010,47,NA,3.16132,NA,NA,NA,NA,NA,NA,729,134,23060
"States","California",2010,48,NA,2.60631,NA,NA,NA,NA,NA,NA,939,135,36028
"States","California",2010,49,NA,3.05613,NA,NA,NA,NA,NA,NA,1072,135,35077
"States","California",2010,50,NA,3.6598,NA,NA,NA,NA,NA,NA,1170,128,31969
"States","California",2010,51,NA,4.62077,NA,NA,NA,NA,NA,NA,1057,127,22875
"States","California",2010,52,NA,4.6895,NA,NA,NA,NA,NA,NA,916,125,19533
"States","California",2011,1,NA,3.56213,NA,NA,NA,NA,NA,NA,1190,129,33407
"States","California",2011,2,NA,3.79325,NA,NA,NA,NA,NA,NA,1354,132,35695
"States","California",2011,3,NA,4.02689,NA,NA,NA,NA,NA,NA,1324,130,32879
"States","California",2011,4,NA,4.60501,NA,NA,NA,NA,NA,NA,1768,132,38393
"States","California",2011,5,NA,4.33983,NA,NA,NA,NA,NA,NA,1747,133,40255
"States","California",2011,6,NA,4.88711,NA,NA,NA,NA,NA,NA,1987,138,40658
"States","California",2011,7,NA,5.07162,NA,NA,NA,NA,NA,NA,2036,136,40145
"States","California",2011,8,NA,5.17402,NA,NA,NA,NA,NA,NA,1775,134,34306
"States","California",2011,9,NA,5.00087,NA,NA,NA,NA,NA,NA,2007,138,40133
"States","California",2011,10,NA,4.69447,NA,NA,NA,NA,NA,NA,1853,136,39472
"States","California",2011,11,NA,4.4379,NA,NA,NA,NA,NA,NA,1598,134,36008
"States","California",2011,12,NA,3.29703,NA,NA,NA,NA,NA,NA,1111,127,33697
"States","California",2011,13,NA,3.2,NA,NA,NA,NA,NA,NA,1160,131,36250
"States","California",2011,14,NA,2.64683,NA,NA,NA,NA,NA,NA,927,121,35023
"States","California",2011,15,NA,2.57193,NA,NA,NA,NA,NA,NA,918,120,35693
"States","California",2011,16,NA,2.24199,NA,NA,NA,NA,NA,NA,736,119,32828
"States","California",2011,17,NA,2.34436,NA,NA,NA,NA,NA,NA,784,112,33442
"States","California",2011,18,NA,2.14632,NA,NA,NA,NA,NA,NA,734,111,34198
"States","California",2011,19,NA,2.05279,NA,NA,NA,NA,NA,NA,672,110,32736
"States","California",2011,20,NA,2.13285,NA,NA,NA,NA,NA,NA,700,113,32820
"States","California",2011,21,NA,2.10667,NA,NA,NA,NA,NA,NA,583,94,27674
"States","California",2011,22,NA,2.5765,NA,NA,NA,NA,NA,NA,581,91,22550
"States","California",2011,23,NA,2.26424,NA,NA,NA,NA,NA,NA,588,87,25969
"States","California",2011,24,NA,1.84762,NA,NA,NA,NA,NA,NA,461,88,24951
"States","California",2011,25,NA,1.73298,NA,NA,NA,NA,NA,NA,436,88,25159
"States","California",2011,26,NA,1.67684,NA,NA,NA,NA,NA,NA,426,80,25405
"States","California",2011,27,NA,1.68774,NA,NA,NA,NA,NA,NA,343,82,20323
"States","California",2011,28,NA,1.60432,NA,NA,NA,NA,NA,NA,383,84,23873
"States","California",2011,29,NA,1.45437,NA,NA,NA,NA,NA,NA,327,78,22484
"States","California",2011,30,NA,1.35141,NA,NA,NA,NA,NA,NA,303,79,22421
"States","California",2011,31,NA,0.553292,NA,NA,NA,NA,NA,NA,91,74,16447
"States","California",2011,32,NA,1.35688,NA,NA,NA,NA,NA,NA,295,80,21741
"States","California",2011,33,NA,1.1637,NA,NA,NA,NA,NA,NA,284,82,24405
"States","California",2011,34,NA,1.34833,NA,NA,NA,NA,NA,NA,350,83,25958
"States","California",2011,35,NA,1.47857,NA,NA,NA,NA,NA,NA,376,79,25430
"States","California",2011,36,NA,1.60215,NA,NA,NA,NA,NA,NA,322,77,20098
"States","California",2011,37,NA,1.74891,NA,NA,NA,NA,NA,NA,420,76,24015
"States","California",2011,38,NA,1.75994,NA,NA,NA,NA,NA,NA,445,74,25285
"States","California",2011,39,NA,1.84745,NA,NA,NA,NA,NA,NA,474,73,25657
"States","California",2011,40,NA,1.80295,NA,NA,NA,NA,NA,NA,568,116,31504
"States","California",2011,41,NA,2.06534,NA,NA,NA,NA,NA,NA,703,122,34038
"States","California",2011,42,NA,2.38294,NA,NA,NA,NA,NA,NA,801,116,33614
"States","California",2011,43,NA,2.29128,NA,NA,NA,NA,NA,NA,797,118,34784
"States","California",2011,44,NA,2.48358,NA,NA,NA,NA,NA,NA,866,125,34869
"States","California",2011,45,NA,2.1744,NA,NA,NA,NA,NA,NA,784,127,36056
"States","California",2011,46,NA,2.6274,NA,NA,NA,NA,NA,NA,992,123,37756
"States","California",2011,47,NA,2.51216,NA,NA,NA,NA,NA,NA,594,125,23645
"States","California",2011,48,NA,1.6858,NA,NA,NA,NA,NA,NA,511,125,30312
"States","California",2011,49,NA,2.7037,NA,NA,NA,NA,NA,NA,883,128,32659
"States","California",2011,50,NA,3.02135,NA,NA,NA,NA,NA,NA,951,127,31476
"States","California",2011,51,NA,3.60781,NA,NA,NA,NA,NA,NA,843,121,23366
"States","California",2011,52,NA,4.3531,NA,NA,NA,NA,NA,NA,718,117,16494
"States","California",2012,1,NA,3.50589,NA,NA,NA,NA,NA,NA,854,122,24359
"States","California",2012,2,NA,2.94298,NA,NA,NA,NA,NA,NA,958,124,32552
"States","California",2012,3,NA,2.73705,NA,NA,NA,NA,NA,NA,855,125,31238
"States","California",2012,4,NA,3.53247,NA,NA,NA,NA,NA,NA,1224,126,34650
"States","California",2012,5,NA,3.85357,NA,NA,NA,NA,NA,NA,1359,129,35266
"States","California",2012,6,NA,3.29788,NA,NA,NA,NA,NA,NA,1265,130,38358
"States","California",2012,7,NA,3.57343,NA,NA,NA,NA,NA,NA,1278,130,35764
"States","California",2012,8,NA,4.20562,NA,NA,NA,NA,NA,NA,1300,125,30911
"States","California",2012,9,NA,3.54025,NA,NA,NA,NA,NA,NA,1253,127,35393
"States","California",2012,10,NA,2.69266,NA,NA,NA,NA,NA,NA,812,128,30156
"States","California",2012,11,NA,3.12447,NA,NA,NA,NA,NA,NA,920,128,29445
"States","California",2012,12,NA,2.83205,NA,NA,NA,NA,NA,NA,819,124,28919
"States","California",2012,13,NA,3.89886,NA,NA,NA,NA,NA,NA,1229,127,31522
"States","California",2012,14,NA,2.99164,NA,NA,NA,NA,NA,NA,952,120,31822
