Week,Influenza: (California)
2/23/2014,15
3/2/2014,12
3/9/2014,11
3/16/2014,10
3/23/2014,9
3/30/2014,10
4/6/2014,10
4/13/2014,9
4/20/2014,8
4/27/2014,8
5/4/2014,8
5/11/2014,8
5/18/2014,8
5/25/2014,7
6/1/2014,8
6/8/2014,6
6/15/2014,7
6/22/2014,7
6/29/2014,6
7/6/2014,6
7/13/2014,6
7/20/2014,6
7/27/2014,6
8/3/2014,7
8/10/2014,6
8/17/2014,7
8/24/2014,9
8/31/2014,10
9/7/2014,13
9/14/2014,15
9/21/2014,20
9/28/2014,26
10/5/2014,28
10/12/2014,31
10/19/2014,28
10/26/2014,23
11/2/2014,23
11/9/2014,19
11/16/2014,18
11/23/2014,16
11/30/2014,20
12/7/2014,19
12/14/2014,20
12/21/2014,22
12/28/2014,32
1/4/2015,35
1/11/2015,33
1/18/2015,30
1/25/2015,28
2/1/2015,25
2/8/2015,20
2/15/2015,18
2/22/2015,16
3/1/2015,16
3/8/2015,16
3/15/2015,13
3/22/2015,13
3/29/2015,12
4/5/2015,14
4/12/2015,15
4/19/2015,14
4/26/2015,12
5/3/2015,11
5/10/2015,10
5/17/2015,10
5/24/2015,10
5/31/2015,9
6/7/2015,8
6/14/2015,7
6/21/2015,7
6/28/2015,6
7/5/2015,6
7/12/2015,6
7/19/2015,6
7/26/2015,6
8/2/2015,6
8/9/2015,6
8/16/2015,7
8/23/2015,8
8/30/2015,10
9/6/2015,11
9/13/2015,15
9/20/2015,18
9/27/2015,22
10/4/2015,24
10/11/2015,23
10/18/2015,22
10/25/2015,22
11/1/2015,23
11/8/2015,22
11/15/2015,19
11/22/2015,16
11/29/2015,18
12/6/2015,18
12/13/2015,19
12/20/2015,21
12/27/2015,22
1/3/2016,20
1/10/2016,19
1/17/2016,16
1/24/2016,17
1/31/2016,17
2/7/2016,20
2/14/2016,23
2/21/2016,24
2/28/2016,22
3/6/2016,18
3/13/2016,16
3/20/2016,15
3/27/2016,14
4/3/2016,12
4/10/2016,11
4/17/2016,13
4/24/2016,10
5/1/2016,10
5/8/2016,9
5/15/2016,9
5/22/2016,10
5/29/2016,8
6/5/2016,8
6/12/2016,7
6/19/2016,7
6/26/2016,7
7/3/2016,6
7/10/2016,7
7/17/2016,7
7/24/2016,6
7/31/2016,6
8/7/2016,6
8/14/2016,7
8/21/2016,8
8/28/2016,10
9/4/2016,13
9/11/2016,17
9/18/2016,21
9/25/2016,22
10/2/2016,24
10/9/2016,24
10/16/2016,22
10/23/2016,20
10/30/2016,20
11/6/2016,17
11/13/2016,18
11/20/2016,16
11/27/2016,18
12/4/2016,20
12/11/2016,18
12/18/2016,20
12/25/2016,23
1/1/2017,28
1/8/2017,25
1/15/2017,23
1/22/2017,22
1/29/2017,23
2/5/2017,22
2/12/2017,19
2/19/2017,16
2/26/2017,16
3/5/2017,15
3/12/2017,14
3/19/2017,13
3/26/2017,12
4/2/2017,13
4/9/2017,13
4/16/2017,13
4/23/2017,13
4/30/2017,12
5/7/2017,11
5/14/2017,11
5/21/2017,10
5/28/2017,10
6/4/2017,10
6/11/2017,9
6/18/2017,8
6/25/2017,7
7/2/2017,7
7/9/2017,8
7/16/2017,7
7/23/2017,7
7/30/2017,8
8/6/2017,7
8/13/2017,8
8/20/2017,9
8/27/2017,11
9/3/2017,12
9/10/2017,16
9/17/2017,21
9/24/2017,25
10/1/2017,26
10/8/2017,24
10/15/2017,23
10/22/2017,22
10/29/2017,22
11/5/2017,22
11/12/2017,22
11/19/2017,19
11/26/2017,21
12/3/2017,23
12/10/2017,26
12/17/2017,35
12/24/2017,65
12/31/2017,84
1/7/2018,97
1/14/2018,100
1/21/2018,87
1/28/2018,80
2/4/2018,66
2/11/2018,56
2/18/2018,39
2/25/2018,35
3/4/2018,30
3/11/2018,25
3/18/2018,21
3/25/2018,20
4/1/2018,16
4/8/2018,14
4/15/2018,13
4/22/2018,12
4/29/2018,12
5/6/2018,11
5/13/2018,10
5/20/2018,11
5/27/2018,9
6/3/2018,8
6/10/2018,9
6/17/2018,8
6/24/2018,8
7/1/2018,7
7/8/2018,8
7/15/2018,7
7/22/2018,7
7/29/2018,7
8/5/2018,8
8/12/2018,8
8/19/2018,10
8/26/2018,12
9/2/2018,16
9/9/2018,21
9/16/2018,23
9/23/2018,29
9/30/2018,33
10/7/2018,33
10/14/2018,35
10/21/2018,30
10/28/2018,29
11/4/2018,25
11/11/2018,24
11/18/2018,22
11/25/2018,25
12/2/2018,24
12/9/2018,24
12/16/2018,25
12/23/2018,30
12/30/2018,35
1/6/2019,35
1/13/2019,27
1/20/2019,27
1/27/2019,26
2/3/2019,26
2/10/2019,24
