Week,influenza: (United States),YEAR,WEEK,% WEIGHTED ILI
10/3/2010,13,2010,40,1.10939
10/10/2010,13,2010,41,1.24341
10/17/2010,15,2010,42,1.25726
10/24/2010,13,2010,43,1.25734
10/31/2010,13,2010,44,1.43414
11/7/2010,12,2010,45,1.51838
11/14/2010,13,2010,46,1.61617
11/21/2010,12,2010,47,1.84378
11/28/2010,13,2010,48,1.72535
12/5/2010,13,2010,49,1.87923
12/12/2010,12,2010,50,2.3371
12/19/2010,10,2010,51,3.03533
12/26/2010,10,2010,52,3.136
1/2/2011,13,2011,1,2.53336
1/9/2011,15,2011,2,2.91288
1/16/2011,15,2011,3,3.44497
1/23/2011,23,2011,4,4.16185
1/30/2011,21,2011,5,4.55159
2/6/2011,24,2011,6,4.46504
2/13/2011,29,2011,7,4.55124
2/20/2011,26,2011,8,4.0822
2/27/2011,22,2011,9,3.38812
3/6/2011,18,2011,10,2.99142
3/13/2011,15,2011,11,2.61542
3/20/2011,13,2011,12,2.09065
3/27/2011,13,2011,13,1.86146
4/3/2011,10,2011,14,1.61377
4/10/2011,10,2011,15,1.42199
4/17/2011,7,2011,16,1.3382
4/24/2011,8,2011,17,1.19995
5/1/2011,8,2011,18,1.14889
5/8/2011,7,2011,19,1.12194
5/15/2011,6,2011,20,1.06712
5/22/2011,5,2011,21,1.05058
5/29/2011,5,2011,22,1.15203
6/5/2011,5,2011,23,0.970975
6/12/2011,4,2011,24,0.894683
6/19/2011,4,2011,25,0.843568
6/26/2011,4,2011,26,0.815409
7/3/2011,4,2011,27,0.823052
7/10/2011,4,2011,28,0.674635
7/17/2011,4,2011,29,0.631883
7/24/2011,5,2011,30,0.641513
7/31/2011,4,2011,31,0.529813
8/7/2011,4,2011,32,0.644089
8/14/2011,5,2011,33,0.667718
8/21/2011,5,2011,34,0.705668
8/28/2011,7,2011,35,0.804155
9/4/2011,7,2011,36,0.907804
9/11/2011,10,2011,37,1.00555
9/18/2011,10,2011,38,1.03601
9/25/2011,12,2011,39,1.07583
10/2/2011,11,2011,40,1.16092
10/9/2011,12,2011,41,1.19785
10/16/2011,11,2011,42,1.27926
10/23/2011,12,2011,43,1.29194
10/30/2011,11,2011,44,1.42824
11/6/2011,11,2011,45,1.39803
11/13/2011,10,2011,46,1.45831
11/20/2011,9,2011,47,1.56548
11/27/2011,12,2011,48,1.34313
12/4/2011,10,2011,49,1.48139
12/11/2011,7,2011,50,1.63398
12/18/2011,8,2011,51,1.83126
12/25/2011,6,2011,52,2.10451
1/1/2012,7,2012,1,1.73625
