Category: Health,,,,,
,,,,,
Week,influenza: (United States),influenza: (United States),,,
10/3/2010,21,13,,13.3812,13
10/10/2010,21,13,,13.3812,13
10/17/2010,24,15,,15.2928,15
10/24/2010,22,14,,14.0184,14
10/31/2010,19,12,,12.1068,12
11/7/2010,17,11,,10.8324,11
11/14/2010,21,13,,13.3812,13
11/21/2010,16,10,,10.1952,10
11/28/2010,20,13,,12.744,13
12/5/2010,19,12,,12.1068,12
12/12/2010,19,12,,12.1068,12
12/19/2010,17,11,,10.8324,11
12/26/2010,17,11,,10.8324,11
1/2/2011,21,13,,13.3812,13
1/9/2011,22,14,,14.0184,14
1/16/2011,25,16,,15.93,16
1/23/2011,31,20,,19.7532,20
1/30/2011,33,21,,21.0276,21
2/6/2011,39,25,,24.8508,25
2/13/2011,46,29,,29.3112,29
2/20/2011,42,27,,26.7624,27
2/27/2011,32,20,,20.3904,20
3/6/2011,30,19,,19.116,19
3/13/2011,25,16,,15.93,16
3/20/2011,22,14,,14.0184,14
3/27/2011,19,12,,12.1068,12
4/3/2011,16,10,,10.1952,10
4/10/2011,16,10,,10.1952,10
4/17/2011,12,8,,7.6464,8
4/24/2011,12,8,,7.6464,8
5/1/2011,12,8,,7.6464,8
5/8/2011,11,7,,7.0092,7
5/15/2011,11,7,,7.0092,7
5/22/2011,8,,,5.0976,5
5/29/2011,8,,,5.0976,5
6/5/2011,9,,,5.7348,6
6/12/2011,8,,,5.0976,5
6/19/2011,7,,,4.4604,4
6/26/2011,7,,,4.4604,4
7/3/2011,5,,,3.186,3
7/10/2011,8,,,5.0976,5
7/17/2011,7,,,4.4604,4
7/24/2011,8,,,5.0976,5
7/31/2011,6,,,3.8232,4
8/7/2011,7,,,4.4604,4
8/14/2011,8,,,5.0976,5
8/21/2011,9,,,5.7348,6
8/28/2011,11,,,7.0092,7
9/4/2011,12,,,7.6464,8
9/11/2011,17,,,10.8324,11
9/18/2011,18,,,11.4696,11
9/25/2011,17,,,10.8324,11
10/2/2011,18,,,11.4696,11
10/9/2011,18,,,11.4696,11
10/16/2011,18,,,11.4696,11
10/23/2011,17,,,10.8324,11
10/30/2011,18,,,11.4696,11
11/6/2011,18,,,11.4696,11
11/13/2011,18,,,11.4696,11
11/20/2011,12,,,7.6464,8
11/27/2011,17,,,10.8324,11
12/4/2011,16,,,10.1952,10
12/11/2011,14,,,8.9208,9
12/18/2011,11,,,7.0092,7
12/25/2011,10,,,6.372,6
1/1/2012,12,,,7.6464,8
1/8/2012,11,,,7.0092,7
1/15/2012,14,,,8.9208,9
1/22/2012,15,,,9.558,10
1/29/2012,16,,,10.1952,10
2/5/2012,18,,,11.4696,11
2/12/2012,23,,,14.6556,15
2/19/2012,22,,,14.0184,14
2/26/2012,24,,,15.2928,15
3/4/2012,28,,,17.8416,18
3/11/2012,27,,,17.2044,17
3/18/2012,25,,,15.93,16
3/25/2012,20,,,12.744,13
4/1/2012,17,,,10.8324,11
4/8/2012,17,,,10.8324,11
4/15/2012,17,,,10.8324,11
4/22/2012,16,,,10.1952,10
4/29/2012,16,,,10.1952,10
5/6/2012,15,,,9.558,10
5/13/2012,12,,,7.6464,8
5/20/2012,11,,,7.0092,7
5/27/2012,8,,,5.0976,5
6/3/2012,9,,,5.7348,6
6/10/2012,7,,,4.4604,4
6/17/2012,8,,,5.0976,5
6/24/2012,7,,,4.4604,4
