Week,influenza: (United States)
10/3/2010,13
10/10/2010,13
10/17/2010,15
10/24/2010,13
10/31/2010,13
11/7/2010,12
11/14/2010,13
11/21/2010,12
11/28/2010,13
12/5/2010,13
12/12/2010,12
12/19/2010,10
12/26/2010,10
1/2/2011,13
1/9/2011,15
1/16/2011,15
1/23/2011,23
1/30/2011,21
2/6/2011,24
2/13/2011,29
2/20/2011,26
2/27/2011,22
3/6/2011,18
3/13/2011,15
3/20/2011,13
3/27/2011,13
4/3/2011,10
4/10/2011,10
4/17/2011,7
4/24/2011,8
5/1/2011,8
5/8/2011,7
5/15/2011,6
5/22/2011,5
5/29/2011,5
6/5/2011,5
6/12/2011,4
6/19/2011,4
6/26/2011,4
7/3/2011,4
7/10/2011,4
7/17/2011,4
7/24/2011,5
7/31/2011,4
8/7/2011,4
8/14/2011,5
8/21/2011,5
8/28/2011,7
9/4/2011,7
9/11/2011,10
9/18/2011,10
9/25/2011,12
10/2/2011,11
10/9/2011,12
10/16/2011,11
10/23/2011,12
10/30/2011,11
11/6/2011,11
11/13/2011,10
11/20/2011,9
11/27/2011,12
12/4/2011,10
12/11/2011,7
12/18/2011,8
12/25/2011,6
1/1/2012,7
1/8/2012,9
1/15/2012,8
1/22/2012,10
1/29/2012,11
2/5/2012,12
2/12/2012,15
2/19/2012,15
2/26/2012,15
3/4/2012,16
3/11/2012,17
3/18/2012,15
3/25/2012,13
4/1/2012,11
4/8/2012,11
4/15/2012,10
4/22/2012,9
4/29/2012,10
5/6/2012,9
5/13/2012,7
5/20/2012,7
5/27/2012,5
6/3/2012,6
6/10/2012,4
6/17/2012,5
6/24/2012,5
7/1/2012,3
7/8/2012,4
7/15/2012,5
7/22/2012,4
7/29/2012,4
8/5/2012,5
8/12/2012,5
8/19/2012,7
8/26/2012,7
9/2/2012,7
9/9/2012,9
9/16/2012,10
9/23/2012,11
9/30/2012,12
10/7/2012,12
10/14/2012,11
10/21/2012,12
10/28/2012,11
11/4/2012,11
11/11/2012,13
11/18/2012,9
11/25/2012,15
12/2/2012,21
12/9/2012,20
12/16/2012,24
12/23/2012,28
12/30/2012,34
