Week,influenza,YEAR,WEEK,PERCENT POSITIVE
10/4/2015,16,2015,40,7.199297629
10/11/2015,15,2015,41,5.034722222
10/18/2015,13,2015,42,6.176961603
10/25/2015,13,2015,43,4.662379421
11/1/2015,12,2015,44,3.071672355
11/8/2015,12,2015,45,4.450825556
11/15/2015,11,2015,46,4.663923182
11/22/2015,9,2015,47,4.92653414
11/29/2015,12,2015,48,5.806451613
12/6/2015,12,2015,49,6.719367589
12/13/2015,10,2015,50,9.559322034
12/20/2015,8,2015,51,13.33333333
12/27/2015,11,2015,52,17.50841751
1/3/2016,11,2016,1,20.640956
1/10/2016,11,2016,2,27.45995423
1/17/2016,12,2016,3,32.21993834
1/24/2016,12,2016,4,36.21495327
1/31/2016,16,2016,5,42.50091676
2/7/2016,19,2016,6,49.40662086
2/14/2016,23,2016,7,56.59312468
2/21/2016,28,2016,8,59.01999561
2/28/2016,31,2016,9,62.55600597
3/6/2016,32,2016,10,64.25907753
3/13/2016,27,2016,11,57.6015568
3/20/2016,23,2016,12,53.14268692
3/27/2016,22,2016,13,50.99316184
4/3/2016,17,2016,14,47.60715772
4/10/2016,16,2016,15,43.73205742
4/17/2016,15,2016,16,45.4845815
4/24/2016,13,2016,17,37.62575453
5/1/2016,10,2016,18,31.37777778
5/8/2016,9,2016,19,27.18351325
5/15/2016,8,2016,20,27.45098039
5/22/2016,7,2016,21,22.84820031
5/29/2016,5,2016,22,18.87966805
6/5/2016,6,2016,23,12.5
6/12/2016,5,2016,24,11.08490566
6/19/2016,4,2016,25,17.8125
6/26/2016,5,2016,26,13.23076923
7/3/2016,4,2016,27,14.39114391
7/10/2016,4,2016,28,13.40206186
7/17/2016,4,2016,29,11.78451178
7/24/2016,4,2016,30,18.45637584
7/31/2016,4,2016,31,15.95441595
8/7/2016,4,2016,32,17.09401709
8/14/2016,5,2016,33,11.96808511
8/21/2016,5,2016,34,11.81318681
8/28/2016,6,2016,35,12.5
9/4/2016,7,2016,36,14.5
9/11/2016,10,2016,37,15.37070524
9/18/2016,11,2016,38,15.91639871
9/25/2016,11,2016,39,13.64942529
10/2/2016,11,2016,40,11.80400891
10/9/2016,11,2016,41,11.13402062
10/16/2016,10,2016,42,14.64912281
