"REGION TYPE","REGION","YEAR","WEEK","% WEIGHTED ILI","%UNWEIGHTED ILI","AGE 0-4","AGE 25-49","AGE 25-64","AGE 5-24","AGE 50-64","AGE 65","ILITOTAL","NUM. OF PROVIDERS","TOTAL PATIENTS"
"National","X",2010,40,1.10939,1.13505,2627,1677,NA,3142,627,400,8473,1838,746485
"National","X",2010,41,1.24341,1.25256,2953,1779,NA,3522,649,444,9347,1875,746230
"National","X",2010,42,1.25726,1.2457,3044,1898,NA,3641,690,411,9684,1907,777397
"National","X",2010,43,1.25734,1.26774,3226,1754,NA,3822,682,420,9904,1929,781234
"National","X",2010,44,1.43414,1.43723,3451,1981,NA,4397,736,455,11020,1947,766753
"National","X",2010,45,1.51838,1.53341,3927,1956,NA,4679,734,511,11807,1940,769982
"National","X",2010,46,1.61617,1.69445,4416,2327,NA,5322,774,497,13336,1921,787038
"National","X",2010,47,1.84378,1.9915,4598,2043,NA,4145,743,550,12079,1938,606527
"National","X",2010,48,1.72535,1.81305,5045,2440,NA,4978,915,619,13997,1964,772016
"National","X",2010,49,1.87923,2.01426,5060,2511,NA,5867,893,627,14958,1936,742606
"National","X",2010,50,2.3371,2.55659,6300,2847,NA,7194,1031,650,18022,1916,704923
"National","X",2010,51,3.03533,3.38185,7295,3433,NA,7071,1262,838,19899,1840,588406
"National","X",2010,52,3.136,3.43172,7478,4455,NA,5764,1581,1068,20346,1887,592880
"National","X",2011,1,2.53336,2.69151,6584,4455,NA,6342,1586,1059,20026,1923,744043
"National","X",2011,2,2.91288,2.91063,6238,4220,NA,7773,1537,953,20721,1921,711908
"National","X",2011,3,3.44497,3.49232,7247,5095,NA,11243,1734,938,26257,1964,751850
"National","X",2011,4,4.16185,4.0037,8007,5952,NA,15291,1794,931,31975,1947,798637
"National","X",2011,5,4.55159,4.43534,8195,6536,NA,16366,1990,1197,34284,1970,772974
"National","X",2011,6,4.46504,4.24215,8036,6812,NA,16516,1996,1096,34456,1961,812230
"National","X",2011,7,4.55124,4.39719,8172,7257,NA,17493,2352,1293,36567,1910,831600
"National","X",2011,8,4.0822,3.90256,7839,6425,NA,13718,2028,1267,31277,1908,801449
"National","X",2011,9,3.38812,3.15073,6376,4869,NA,10496,1740,1146,24627,1860,781629
"National","X",2011,10,2.99142,2.72422,5691,3939,NA,8427,1421,899,20377,1829,747993
"National","X",2011,11,2.61542,2.33336,5363,3265,NA,6702,1175,804,17309,1823,741807
"National","X",2011,12,2.09065,1.925,4400,2551,NA,5489,978,613,14031,1790,728883
"National","X",2011,13,1.86146,1.75243,4189,2244,NA,5025,877,622,12957,1770,739375
"National","X",2011,14,1.61377,1.57704,3701,1985,NA,4557,747,508,11498,1723,729089
"National","X",2011,15,1.42199,1.35766,3164,1574,NA,3562,641,450,9391,1681,691707
"National","X",2011,16,1.3382,1.31223,3139,1505,NA,3064,559,428,8695,1651,662612
"National","X",2011,17,1.19995,1.14937,2895,1324,NA,2673,555,383,7830,1612,681240
"National","X",2011,18,1.14889,1.11451,2532,1305,NA,2553,524,393,7307,1585,655627
"National","X",2011,19,1.12194,1.10984,2551,1254,NA,2595,485,351,7236,1556,651983
"National","X",2011,20,1.06712,1.0524,2353,1131,NA,2280,461,305,6530,1516,620485
"National","X",2011,21,1.05058,1.03536,2213,1045,NA,2110,405,299,6072,1381,586460
"National","X",2011,22,1.15203,1.11777,2249,1013,NA,1980,397,307,5946,1357,531954
"National","X",2011,23,0.970975,0.982949,2040,1037,NA,1760,432,278,5547,1296,564322
"National","X",2011,24,0.894683,0.925194,1812,911,NA,1599,405,262,4989,1279,539238
"National","X",2011,25,0.843568,0.835531,1604,870,NA,1422,308,244,4448,1251,532356
"National","X",2011,26,0.815409,0.832393,1472,750,NA,1462,324,210,4218,1225,506732
"National","X",2011,27,0.823052,0.855591,1423,823,NA,1269,270,224,4009,1211,468565
"National","X",2011,28,0.674635,0.706949,1255,756,NA,1206,316,188,3721,1220,526346
"National","X",2011,29,0.631883,0.694387,1243,733,NA,1184,259,178,3597,1203,518011
"National","X",2011,30,0.641513,0.687976,1251,667,NA,1188,263,169,3538,1179,514262
"National","X",2011,31,0.529813,0.644743,1088,635,NA,1125,203,151,3202,1175,496632
"National","X",2011,32,0.644089,0.67533,1207,704,NA,1223,231,158,3523,1175,521671
"National","X",2011,33,0.667718,0.72823,1342,767,NA,1358,241,166,3874,1191,531975
"National","X",2011,34,0.705668,0.806526,1505,814,NA,1600,305,220,4444,1195,551005
"National","X",2011,35,0.804155,0.860408,1528,887,NA,1781,308,213,4717,1200,548228
"National","X",2011,36,0.907804,0.936075,1622,904,NA,1809,293,185,4813,1184,514168
"National","X",2011,37,1.00555,0.966683,1788,1022,NA,2206,346,205,5567,1196,575887
"National","X",2011,38,1.03601,0.996007,1816,1126,NA,2264,374,242,5822,1201,584534
