REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
National,X,2014,1,4.28195,4.2112,7488,9135,NA,6726,3555,1750,28654,2033,680424
National,X,2014,2,3.56288,3.46492,6233,8846,NA,7881,3565,1622,28147,2059,812343
National,X,2014,3,3.36378,3.31698,6007,8091,NA,9517,3149,1606,28370,2049,855297
National,X,2014,4,3.39659,3.2407,5878,6818,NA,8858,2616,1332,25502,2062,786928
National,X,2014,5,3.11922,2.88598,5133,6031,NA,8714,2403,1203,23484,2051,813726
National,X,2014,6,2.83572,2.62172,4729,5278,NA,7711,2242,1125,21085,2051,804244
National,X,2014,7,2.48484,2.34067,4210,4470,NA,6717,1829,969,18195,2018,777340
National,X,2014,8,2.2741,2.12059,4250,4306,NA,6121,1684,873,17234,2025,812700
National,X,2014,9,2.07244,1.91094,3953,3691,NA,5875,1505,890,15914,1978,832786
National,X,2014,10,1.98207,1.9023,3775,3472,NA,5575,1430,792,15044,1944,790831
National,X,2014,11,1.82441,1.76619,3616,3210,NA,5022,1360,816,14024,1904,794024
National,X,2014,12,1.82036,1.85791,3798,3285,NA,5611,1422,810,14926,1922,803374
National,X,2014,13,1.75391,1.82094,3523,3256,NA,5812,1298,772,14661,1887,805133
National,X,2014,14,1.74542,1.83453,3582,3153,NA,5659,1436,807,14637,1866,797863
National,X,2014,15,1.67236,1.75446,3574,2943,NA,5587,1316,786,14206,1845,809707
National,X,2014,16,1.51659,1.51636,3130,2516,NA,4279,1088,710,11723,1810,773101
National,X,2014,17,1.44778,1.40334,2846,2504,NA,3770,1036,658,10814,1771,770592
National,X,2014,18,1.29028,1.2593,2501,2084,NA,3591,913,559,9648,1746,766139
National,X,2014,19,1.37388,1.32482,2789,2009,NA,3615,834,528,9775,1714,737834
National,X,2014,20,1.34208,1.27576,2544,1876,NA,3256,825,532,9033,1660,708049
National,X,2014,21,1.34563,1.29483,2733,1742,NA,3068,771,483,8797,1570,679395
National,X,2014,22,1.21291,1.2261,2528,1542,NA,2459,625,504,7658,1554,624582
National,X,2014,23,1.19291,1.14538,2383,1492,NA,2349,607,398,7229,1461,631143
National,X,2014,24,1.14146,1.0678,2227,1413,NA,2181,561,401,6783,1461,635233
National,X,2014,25,1.06503,1.07269,2159,1285,NA,2009,528,388,6369,1392,593740
National,X,2014,26,1.12669,1.01298,2049,1235,NA,1917,509,328,6038,1411,596063
National,X,2014,27,0.947353,0.994705,1865,1075,NA,1688,416,308,5352,1388,538049
National,X,2014,28,0.944187,0.880862,1758,1122,NA,1623,441,351,5295,1394,601116
National,X,2014,29,0.934822,0.858173,1582,1116,NA,1621,403,361,5083,1376,592305
National,X,2014,30,0.81736,0.805152,1455,1128,NA,1450,398,334,4765,1372,591814
National,X,2014,31,0.852792,0.818781,1450,1094,NA,1655,417,326,4942,1378,603580
National,X,2014,32,0.746994,0.783735,1460,1074,NA,1528,409,273,4744,1382,605307
National,X,2014,33,0.761098,0.848703,1528,1107,NA,1631,403,311,4980,1369,586778
National,X,2014,34,0.767627,0.834146,1569,1196,NA,1813,412,315,5305,1371,635980
National,X,2014,35,0.862176,0.905981,1684,1223,NA,2184,401,307,5799,1353,640080
National,X,2014,36,0.984907,1.04506,1753,1284,NA,2258,453,302,6050,1352,578913
National,X,2014,37,1.16287,1.16816,2300,1550,NA,3316,568,396,8130,1401,695966
National,X,2014,38,1.22731,1.27649,2535,1705,NA,3650,605,393,8888,1405,696282
National,X,2014,39,1.2071,1.29758,2522,1820,NA,3447,657,428,8874,1407,683887
National,X,2014,40,1.16191,1.20612,2958,1959,NA,3994,712,527,10150,1937,841540
National,X,2014,41,1.30905,1.32485,3055,2116,NA,4437,821,548,10977,1960,828544
National,X,2014,42,1.37072,1.41192,3442,2321,NA,4728,870,580,11941,2000,845727
National,X,2014,43,1.43373,1.42547,3455,2459,NA,4955,892,531,12292,2008,862314
National,X,2014,44,1.42791,1.43909,3632,2242,NA,5102,807,530,12313,2053,855608
National,X,2014,45,1.61605,1.61532,4277,2349,NA,5799,863,565,13853,2058,857601
National,X,2014,46,1.65976,1.66473,4424,2323,NA,5816,911,588,14062,1997,844700
National,X,2014,47,2.05459,2.0058,4740,2921,NA,7322,1049,642,16674,2058,831289
National,X,2014,48,2.53541,2.62227,5432,3277,NA,6848,1165,880,17602,2067,671251
National,X,2014,49,2.54253,2.60749,6185,4623,NA,9106,1767,1224,22905,2097,878430
National,X,2014,50,3.60563,3.4178,7424,5287,NA,13050,1970,1441,29172,2069,853532
National,X,2014,51,4.90976,4.46555,9270,6920,NA,16418,2671,2103,37382,2016,837119
National,X,2014,52,5.98221,6.11497,10363,8982,NA,13951,3718,3519,40533,1984,662849
National,X,2014,53,5.47421,5.30979,9732,9348,NA,9406,4288,4117,36891,1983,694773
National,X,2015,1,4.21374,4.07898,7160,8072,NA,9589,3614,3048,31483,1958,771835
National,X,2015,2,4.21022,3.93762,7044,6946,NA,11966,2909,2339,31204,1971,792459
National,X,2015,3,4.25968,4.15076,7840,6451,NA,13949,2951,2030,33221,1966,800359
National,X,2015,4,3.97761,3.87899,7118,5844,NA,13159,2585,1915,30621,1955,789407
National,X,2015,5,3.63443,3.45794,6656,5380,NA,12093,2368,1654,28151,1950,814097
National,X,2015,6,3.26527,3.06359,6429,4884,NA,10328,2072,1505,25218,1917,823153
National,X,2015,7,2.93083,2.82646,5537,4295,NA,8164,1842,1271,21109,1907,746836
National,X,2015,8,2.54474,2.3599,4823,4061,NA,7280,1765,1249,19178,1934,812660
National,X,2015,9,2.47227,2.33472,4639,3914,NA,7116,1696,1076,18441,1912,789858
National,X,2015,10,2.35665,2.21286,4710,3654,NA,6748,1654,1067,17833,1907,805881
National,X,2015,11,2.17008,2.07619,4559,3482,NA,6084,1573,997,16695,1883,804117
National,X,2015,12,2.04297,2.01267,4418,3284,NA,6003,1486,931,16122,1848,801027
National,X,2015,13,1.954,1.94192,4174,2968,NA,5623,1321,889,14975,1819,771143
National,X,2015,14,1.72287,1.74809,3903,2931,NA,4634,1387,878,13733,1820,785602
National,X,2015,15,1.53694,1.50367,3448,2448,NA,4214,1160,774,12044,1813,800974
National,X,2015,16,1.38283,1.43494,3182,2052,NA,4011,975,640,10860,1768,756827
National,X,2015,17,1.46265,1.45673,3203,2122,NA,4280,888,602,11095,1753,761638
National,X,2015,18,1.38934,1.42836,3106,2074,NA,4079,846,589,10694,1735,748690
National,X,2015,19,1.3468,1.35297,2805,1810,NA,3641,813,602,9671,1688,714799
National,X,2015,20,1.25452,1.33093,2754,1768,NA,3296,736,470,9024,1622,678023
National,X,2015,21,1.21636,1.28422,2593,1461,NA,2714,652,493,7913,1579,616171
National,X,2015,22,1.16734,1.13889,2211,1334,NA,2345,594,462,6946,1505,609891
National,X,2015,23,1.04654,1.10343,2109,1320,NA,2284,575,456,6744,1455,611184
National,X,2015,24,0.943661,0.970748,1734,1167,NA,2046,495,408,5850,1459,602628
National,X,2015,25,0.935046,0.998681,1897,1170,NA,1921,496,429,5913,1445,592081
National,X,2015,26,0.934726,0.978057,1678,1043,NA,1701,430,380,5232,1417,534938
National,X,2015,27,0.864118,0.866431,1546,1081,NA,1675,443,371,5116,1428,590468
National,X,2015,28,0.806535,0.827757,1487,1028,NA,1609,405,341,4870,1411,588337
National,X,2015,29,0.742747,0.797572,1383,1011,NA,1498,413,321,4626,1401,580010
National,X,2015,30,0.737859,0.811221,1415,999,NA,1459,432,300,4605,1352,567663
National,X,2015,31,0.743224,0.821165,1392,1026,NA,1590,420,325,4753,1364,578812
National,X,2015,32,0.805251,0.819435,1330,1062,NA,1667,400,291,4750,1340,579668
National,X,2015,33,0.816943,0.848041,1429,1134,NA,1815,436,359,5173,1356,609994
National,X,2015,34,0.814518,0.888524,1687,1151,NA,2033,423,354,5648,1362,635661
National,X,2015,35,0.86067,0.962826,1636,1230,NA,2292,481,324,5963,1354,619323
National,X,2015,36,0.886704,1.02252,1714,1297,NA,2169,461,329,5970,1349,583853
National,X,2015,37,1.00845,1.08392,1993,1392,NA,2744,536,397,7062,1369,651524
National,X,2015,38,1.06625,1.17724,2178,1520,NA,2947,627,432,7704,1367,654414
National,X,2015,39,1.05995,1.1716,2170,1654,NA,2746,652,404,7626,1332,650904
National,X,2015,40,1.22559,1.24325,2849,2015,NA,3693,871,621,10049,1963,808287
National,X,2015,41,1.31066,1.3234,3016,2102,NA,4007,912,678,10715,1976,809660
National,X,2015,42,1.3711,1.40399,3263,2357,NA,4360,951,653,11584,1995,825079
National,X,2015,43,1.39171,1.37629,3141,2254,NA,4148,927,694,11164,1999,811165
National,X,2015,44,1.43712,1.46866,3563,2450,NA,4783,935,692,12423,2048,845875
National,X,2015,45,1.50165,1.533,3746,2517,NA,4725,943,745,12676,2028,826877
National,X,2015,46,1.59805,1.60841,3960,2656,NA,5076,1026,766,13484,2023,838344
National,X,2015,47,1.89668,1.90047,3974,2427,NA,4073,981,703,12158,2000,639738
National,X,2015,48,1.67728,1.73645,4469,3011,NA,5076,1232,829,14617,2040,841777
